RU084167100=			Semi-annual	
RU087885577=			Semi-annual	
RU022578596=			Semi-annual	
RU078324287=			Semi-annual	
RU078397292=			Quarterly	
RU055267987=			Semi-annual	
RU089996970=			Semi-annual	
RU083019123=			Semi-annual	
RU080863691=			Semi-annual	
RU061984534=			Semi-annual	
RU058521159=			Semi-annual	
RU091159970=			Semi-annual	
RU048420877=			Semi-annual	
RU026190673=			Semi-annual	
RU029253030=			Semi-annual	
RU032496393=			Semi-annual	
RU048420915=			Semi-annual	
RU031136997=			Semi-annual	
RU028874766=			Semi-annual	
RU038143930=			Semi-annual	
RU094866677=			Semi-annual	
RU092288331=			Semi-annual	
RU100327376=			Semi-annual	
RU071900975=			Semi-annual	
RU055980012=			Semi-annual	
RU089320518=			Annual	
RU052461081=			Semi-annual	
RU080081707=			Semi-annual	
RU089321239=			Annual	
RU055991596=			Semi-annual	
RU099316217=			Semi-annual	
RU099316268=			Semi-annual	
RU063095087=			Semi-annual	
RU058703095=			Semi-annual	
RU025386183=			Semi-annual	
RU064317644=			Semi-annual	
RU088940202=			Semi-annual	
RU036104180=			Semi-annual	
RU088940105=			Semi-annual	
RU058703109=			Semi-annual	
RU064318322=			Semi-annual	
RU088940172=			Semi-annual	
RU030828780=			Semi-annual	
RU099327995=			Semi-annual	
RU090864947=			Not applicable	
RU091325748=			Not applicable	
LU093758439=			Not applicable	
RU063355739=			Semi-annual	
RU061647864=			Annual	
RU061421319=			Annual	
RU081973938=			Semi-annual	
RU083785004=			Semi-annual	
RU020221810=			Semi-annual	
RU049199813=			Semi-annual	
RU080734069=			Semi-annual	
RU023068311=			Semi-annual	
RU084744131=			Semi-annual	
RU069962971=			Annual	
RU024410528=			Annual	
RU062030844=			Annual	
RU082538330=			Annual	
RU077250948=			Semi-annual	
RU086356929=			Annual	
RU059279459=			Semi-annual	
RU036592397=			Semi-annual	
RU054863365=			Semi-annual	
RU084207853=			Semi-annual	
RU022371592=			Semi-annual	
RU081059683=			Semi-annual	
IT047367115=			Semi-annual	
LU043836226=			Semi-annual	
IT056306587=			Semi-annual	
BM092346536=			Semi-annual	
/RU25068RMFS=MM			Every 182 days	
/RU25071RMFS=MM			Every 182 days	
/RU25075RMFS=MM			Every 182 days	
/RU25076RMFS=MM			Every 182 days	
/RU25077RMFS=MM			Every 182 days	
/RU25079RMFS=MM			Every 182 days	
/RU25080RMFS=MM			Every 182 days	
/RU25081RMFS=MM			Every 182 days	
/RU25082RMFS=MM			Every 182 days	
/RU26202RMFS=MM			Every 91 days	
/RU26203RMFS=MM			Every 182 days	
/RU26204RMFS=MM			Every 182 days	
/RU26205RMFS=MM			Every 182 days	
/RU26206RMFS=MM			Every 182 days	
/RU26207RMFS=MM			Every 182 days	
/RU26208RMFS=MM			Every 182 days	
/RU26209RMFS=MM			Every 182 days	
/RU26210RMFS=MM			Every 182 days	
/RU26211RMFS=MM			Every 182 days	
/RU26212RMFS=MM			Every 182 days	
/RU26214RMFS=MM			Every 182 days	
/RU26215RMFS=MM			Every 182 days	
/RU26216RMFS=MM			Every 182 days	
/RU46005RMFS=MM			Annual	
/RU46007RMFS=MM			Annual	
/RU46008RMFS=MM			Annual	
/RU46009RMFS=MM			Annual	
/RU46010RMFS=MM			Every 52 weeks	
/RU46011RMFS=MM			Every 52 weeks	
/RU46012RMFS=MM			Every 52 weeks	
/RU46014RMFS=MM			Every 182 days	
/RU46017RMFS=MM			Every 91 days	
/RU46018RMFS=MM			Every 91 days	
/RU46019RMFS=MM			Every 52 weeks	
/RU46020RMFS=MM			Multi-Frequency	
/RU46021RMFS=MM			Every 182 days	
/RU46022RMFS=MM			Multi-Frequency	
/RU46023RMFS=MM			Every 182 days	
/RU48001RMFS=MM			Every 52 weeks	
/RU000A0JQGW2=MM			Every 182 days	
/RU000A0JQ9U9=MM			Every 182 days	
/RU000A0JQL30=MM			Every 182 days	
/RU000A0JRBU5=MM			Every 182 days	
/RU000A0JR5F7=MM			Quarterly	
/RU000A0JU3G5=MM			Quarterly	
/RU000A0JS1A6=MM			Quarterly	
/RU000A0JTCV7=MM			Quarterly	
/RU000A0JUBT1=MM			Quarterly	
/RU000A0JPJE6=MM			Quarterly	
/RU000A0JPLU8=MM			Quarterly	
/RU000A0JQAG8=MM		20	Semi-annual	2.5
/RU000A0JQAL8=MM		20	Semi-annual	2.5
/RU000A0JQAM6=MM		20	Semi-annual	2.5
/RU000A0JQXG0=MM			Quarterly	
/RU000A0JRDY3=MM			Quarterly	
/RU000A0JRF37=MM			Quarterly	
/RU000A0JU3J9=MM			Quarterly	
/RU000A0JS1B4=MM			Quarterly	
/RU000A0JTD52=MM			Quarterly	
/RU000A0JUC19=MM			Quarterly	
/RU000A0JR6S8=MM			Quarterly	
/RU000A0JS488=MM			Quarterly	
/RU000A0JS5S9=MM			Quarterly	
/RU000A0JRYW3=MM			Quarterly	
/RU000A0JTDX1=MM			Quarterly	
/RU000A0JTW83=MM			Quarterly	
/RU000A0JTZF1=MM			Quarterly	
/RU000A0JTYR9=MM			Quarterly	
/RU000A0GKNF2=MM			Quarterly	
/RU000A0JNPJ7=MM			Quarterly	
/RU000A0JNPK5=MM			Quarterly	
/RU000A0JP1V5=MM			Quarterly	
/RU000A0JU5T3=MM			Every 91 days	
/RU000A0JP8D8=MM			Quarterly	
/RU000A0JPN21=MM			Quarterly	
/RU000A0JPN39=MM			Quarterly	
/RU000A0JQ276=MM			Quarterly	
/RU000A0JQY35=MM				
/RU000A0JRMV0=MM			Quarterly	
/RU000A0JRMW8=MM			Quarterly	
/RU000A0JSGW8=MM			Quarterly	
/RU000A0JSKJ7=MM			Quarterly	
/RU000A0JT692=MM			Every 182 days	
/RU000A0JTRL6=MM			Every 182 days	
/RU000A0JU310=MM			Every 182 days	
/RU000A0JU2T0=MM			Semi-annual	
/RU000A0JQVK6=MM			Every 91 days	
/RU000A0JQX02=MM			Every 91 days	
/RU000A0JQXE5=MM			Every 91 days	
/RU000A0JQX10=MM			Every 91 days	
/RU000A0JTA48=MM			Every 91 days	
/RU000A0JTA55=MM			Every 91 days	
/RU000A0JTN43=MM			Semi-annual	
/RU000A0JRNJ3=MM			Every 182 days	
/RU000A0JTXR1=MM			Semi-annual	
/RU000A0JRXT1=MM			Semi-annual	
/RU000A0JS5N0=MM			Semi-annual	
/RU000A0JS2Q0=MM			Every 182 days	
/RU000A0JTTC1=MM			Every 182 days	
/RU000A0JTEM2=MM			Every 365 days	
/RU000A0JSL87=MM			Every 365 days	
/RU000A0JRHF3=MM			Every 182 days	
/RU000A0JRHG1=MM			Every 182 days	
/RU000A0JT5E8=MM			Every 182 days	
/RU000A0JTDU7=MM			Not applicable	
/RU000A0JR7S6=MM			Every 182 days	
/RU000A0JRZB4=MM			Every 182 days	
/RU000A0JT213=MM			Semi-annual	
/RU000A0JU849=MM			Semi-annual	
/RU000A0JSW35=MM			Multi-Frequency	
/RU000A0JTP41=MM			Semi-annual	
/RU000A0JQYU9=MM			Every 182 days	
/RU000A0JRJV6=MM			Every 182 days	
/RU000A0JRK22=MM			Every 182 days	
/RU000A0JTZH7=MM			Every 91 days	
/RU000A0JSEU7=MM			Every 91 days	
/RU000A0JQZ59=MM			Annual	
/RU000A0JTKS6=MM			Every 182 days	
/RU000A0JRYJ0=MM			Every 182 days	
/RU000A0JP8V0=MM			Every 182 days	
/RU000A0JS7F2=MM			Every 183 days	
/RU000A0JU7X1=MM			Every 182 days	
/RU000A0JS116=MM			Semi-annual	
/RU000A0JU0N7=MM			Semi-annual	
/RU000A0JRZ74=MM			Semi-annual	
/RU000A0JRKX0=MM			Every 182 days	
/RU000A0JRCD9=MM			Every 182 days	
/RU000A0JR0W3=MM			Every 182 days	
/RU000A0JTJ07=MM			Every 182 days	
/RU000A0JU6B9=MM			Every 182 days	
/RU000A0JU7W3=MM			Every 91 days	
/RU000A0JTXP5=MM			Quarterly	
/RU000A0JTXQ3=MM			Quarterly	
/RU000A0JTY40=MM			Every 182 days	
/RU000A0JQ789=MM			Every 182 days	
/RU000A0JSVF2=MM			Every 182 days	
/RU000A0JRW36=MM			Semi-annual	
/RU000A0JS397=MM			Semi-annual	
/RU000A0JS3P0=MM			Semi-annual	
/RU000A0JRHD8=MM			Semi-annual	
/RU000A0JS6L2=MM			Semi-annual	
/RU000A0JTKK3=MM			Every 91 days	
/RU000A0JQNR8=MM			Every 182 days	
/RU000A0JQNS6=MM			Every 182 days	
/RU000A0JQNH9=MM			Every 182 days	
/RU000A0JS3U0=MM			Every 182 days	
/RU000A0JTM28=MM			Every 182 days	
/RU000A0JTM36=MM			Every 182 days	
/RU000A0JTM44=MM			Every 182 days	
/RU000A0JTM51=MM			Every 182 days	
/RU000A0JRYS1=MM			Every 182 days	
/RU000A0JTFV0=MM			Every 182 days	
/RU000A0JT3P9=MM			Every 182 days	
/RU000A0JPQY9=MM			Every 182 days	
/RU000A0JTHK9=MM			Every 91 days	
/RU000A0JTHL7=MM			Every 91 days	
/RU000A0JTU93=MM			Every 182 days	
/RU000A0JSAK6=MM			Every 182 days	
/RU000A0JU4W0=MM			Semi-annual	
/RU000A0JRFR2=MM			Semi-annual	
/RU000A0JRVA5=MM			Semi-annual	
/RU000A0JT3Q7=MM			Semi-annual	
/RU000A0JTMY0=MM			Semi-annual	
/RU000A0JTVD5=MM			Semi-annual	
/RU000A0JTX33=MM			Every 182 days	
/RU000A0JTX41=MM			Every 182 days	
/RU000A0JTY24=MM			Every 182 days	
/RU000A0JSPX7=MM			Semi-annual	
/RU000A0JRVQ1=MM			Every 182 days	
/RU000A0JS6M0=MM			Semi-annual	
/RU000A0JU0A4=MM			Every 182 days	
/RU000A0JTT62=MM			Quarterly	
/RU000A0JU4X8=MM			Every 182 days	
