RU088663268=	BBB	1/25/2013	S&P
RU088663268=	Baa1	4/2/2013	MDY
RU085533428=	B1	12/10/2013	MDY
RU085533428=	BB-	11/21/2012	FTC
RU080513143=	B	9/7/2012	FTC
RU049493380=	BB+	12/27/2012	S&P
RU049493380=	Ba1	4/2/2013	MDY
RU049493380=	BBB-	7/13/2012	FTC
RU092214257=	BB+	4/29/2013	S&P
RU092214257=	Ba1	4/17/2013	MDY
RU092214257=	BBB-	4/29/2013	FTC
RU028869053=	BB-	12/27/2012	S&P
RU028869053=	Ba3	7/9/2013	MDY
RU028869053=	BB+	7/13/2012	FTC
RU054436297=	BB+	12/27/2012	S&P
RU054436297=	Ba1	4/2/2013	MDY
RU054436297=	BBB-	7/13/2012	FTC
RU083241250=	BB-	12/27/2012	S&P
RU083241250=	Ba3	7/9/2013	MDY
RU083241250=	BB+	9/27/2012	FTC
RU062069520=	BB+	12/27/2012	S&P
RU062069520=	Ba1	4/2/2013	MDY
RU062069520=	BBB-	7/13/2012	FTC
RU049357923=	B-	2/10/2014	S&P
RU049357923=	B	3/10/2010	FTC
RU092504310=	B-	2/10/2014	S&P
RU092504310=	B	5/7/2013	FTC
RU020582847=	BB-	10/19/2010	S&P
RU020582847=	Ba3	4/7/2009	MDY
RU020582847=	BB	10/16/2013	FTC
RU055549320=	BB-	10/19/2010	S&P
RU055549320=	Ba3	7/24/2012	MDY
RU055549320=	BB	10/16/2013	FTC
RU031257298=	B1	10/1/2013	MDY
RU031257298=	WD	11/15/2013	FTC
RU049409575=	Ba1	12/13/2013	MDY
RU049409575=	WD	1/31/2014	FTC
RU023633604=	Ba3	12/13/2013	MDY
RU023633604=	WD	1/31/2014	FTC
RU029918325=	Ba3	12/13/2013	MDY
RU029918325=	WD	1/31/2014	FTC
RU094474183=			
VG097446920=	BB	9/11/2013	S&P
VG097446920=	B1	10/3/2013	MDY
RU085039326=	BB-	10/16/2012	S&P
RU085039326=	Ba3	10/29/2013	MDY
RU084816345=	B1	10/1/2013	MDY
RU084816345=	WD	11/15/2013	FTC
RU095467393=	B+	10/23/2013	FTC
RU087910555=	BB-	10/8/2013	S&P
RU087910555=	B1	5/30/2013	MDY
RU087910555=	BB	11/11/2013	FTC
RU092407845=	NR	10/7/2013	MDY
RU092407845=	BB-	11/11/2013	FTC
RU085476335=	B1	10/3/2013	MDY
RU085476335=	B+	11/23/2012	FTC
DE062075988=			
DE062076011=			
IE099584556=	BB+	11/6/2013	S&P
XS083702001=	BBB	10/2/2012	S&P
XS083702001=	A3	10/4/2012	MDY
XS083702001=	WD	9/25/2013	FTC
XS097264511=	BBB	9/20/2013	S&P
XS097264511=	A3	9/23/2013	MDY
KZS083157143=	BBB	9/17/2012	S&P
KZS083157143=	A3	9/17/2012	MDY
KZS083157143=	WD	9/25/2013	FTC
RU091860449=	BB+	4/8/2013	S&P
RU091860449=	BB	4/16/2013	FTC
RU091054019=			
RU045489736=	BBB	8/30/2012	S&P
RU045489736=	A3	9/25/2009	MDY
RU045489736=	WD	9/25/2013	FTC
RU098102817=	NR	1/17/2014	MDY
RU098102817=	BB-	10/17/2013	FTC
RU086358328=	BB	12/21/2012	S&P
RU086358328=	BB	12/18/2012	FTC
