RU092230171=	BB+	5/14/2013	SPI
RU092230171=	BBB-	4/11/2013	FDL
RU055712859=			
RU061962441=			
RU046985605=			
RU052465885=			
RU077598421=			
RU085167243=			
RU077283528=	B2	12/27/2013	MDL
RU049408552=			
RU049408609=			
RU061678450=	B3	6/6/2013	MDL
RU093834178=			
RU086979292=			
IE099629754=			
RU099629754=			
VG094474248=			
RU103794099=			
RU043356810=			
RU088111923=			
RU060563705=			
RU074811400=			
RU030099877=			
RU079642622=			
RU088473434=			
RU036663090=			
LU095523285=			
RU095523285=			
RU063288799=			
RU097989192=			
RU086198037=	Baa1	12/17/2013	MDL
RU086198118=	Baa1	12/17/2013	MDL
RU055307261=			
RU088663128=			
RU095332331=			
RU023809150=			
RU027572855=			
RU080264895=			
RU084167738=			
RU049924518=	Baa1	2/6/2014	MDL
RU088572718=	Baa1	2/6/2014	MDL
RU076425345=	Baa1	2/6/2014	MDL
RU088572700=	Baa1	2/6/2014	MDL
RU091958198=	Baa1	2/6/2014	MDL
RU076422001=	Baa1	2/6/2014	MDL
RU060901791=	Baa1	2/6/2014	MDL
RU104181511=	Baa1	2/6/2014	MDL
RU025440528=			
RU033738412=			
RU103275016=	Baa1	12/12/2013	MDL
RU093531124=	Baa1	12/12/2013	MDL
RU052443571=	Baa1	12/12/2013	MDL
RU074932541=	Baa1	12/12/2013	MDL
RU088256182=	Baa1	12/12/2013	MDL
RU074238041=	Baa1	12/12/2013	MDL
RU054395671=	Baa1	12/12/2013	MDL
RU089742757=	Baa1	12/12/2013	MDL
RU079935735=	Baa1	12/12/2013	MDL
RU063857297=	Baa1	12/12/2013	MDL
RU074359604=	Baa1	12/12/2013	MDL
RU084853097=	Baa1	12/12/2013	MDL
RU097321949=			
RU019049060=	A2	11/14/2013	MDL
RU064840258=	Ba1	8/26/2013	MDL
RU055131538=	Ba1	8/26/2013	MDL
RU084167100=	Ba1	8/26/2013	MDL
RU087885577=	Ba1	1/30/2013	MDL
RU022578596=	Baa3	11/26/2013	MDL
RU078324287=			
RU078397292=			
RU055267987=	Ba3	1/24/2013	MDL
RU089996970=	Ba1	8/26/2013	MDL
RU083019123=			
RU080863691=			
RU061984534=			
RU058521159=	B1	4/5/2013	MDL
RU091159970=	B1	4/5/2013	MDL
RU048420877=	Baa1	12/17/2013	MDL
RU026190673=	Baa1	12/17/2013	MDL
RU029253030=	Baa1	12/17/2013	MDL
RU032496393=	Baa1	12/17/2013	MDL
RU048420915=	Baa1	12/17/2013	MDL
RU031136997=			
RU028874766=	Baa1	9/13/2013	MDL
RU038143930=	Baa1	9/13/2013	MDL
RU094866677=			
RU092288331=	Baa3	4/25/2013	MDL
RU100327376=	Ba3	11/26/2013	MDL
RU071900975=			
RU055980012=			
RU089320518=			
RU052461081=			
RU080081707=			
RU089321239=			
RU055991596=			
RU099316217=			
RU099316268=			
