RU088663268=	2/13/2013	7.75
RU085533428=	11/19/2012	1/8/1900
RU080513143=	7/13/2012	1/8/1900
RU049493380=	3/18/2010	1/8/1900
RU092214257=	4/26/2013	8.625
RU028869053=	2/22/2007	1/8/1900
RU028869053=	2/22/2012	1/6/1900
RU054436297=	9/24/2010	1/7/1900
RU083241250=	9/26/2012	1/7/1900
RU062069520=	4/28/2011	1/7/1900
RU049357923=	3/11/2010	9.875
RU092504310=	5/3/2013	1/7/1900
RU020582847=	11/16/2004	1/8/1900
RU055549320=	11/3/2010	1/7/1900
RU104254438=	3/5/2014	1/0/1900
RU031257298=	7/25/2007	1/10/1900
RU031257298=	7/25/2012	1/7/1900
RU049409575=	3/11/2010	1/6/1900
RU023633604=	11/25/2005	1/7/1900
RU023633604=	11/25/2010	1/5/1900
RU029918325=	5/10/2007	1/6/1900
RU029918325=	5/10/2012	1/6/1900
RU094474183=	6/18/2013	1/9/1900
VG097446920=	9/26/2013	1/7/1900
RU085039326=	11/1/2012	1/6/1900
RU084816345=	10/24/2012	1/11/1900
RU095467393=	10/22/2013	1/10/1900
RU087910555=	2/1/2013	1/7/1900
RU092407845=	5/13/2013	1/8/1900
RU085476335=	11/15/2012	1/8/1900
DE062075988=	4/29/2011	1/3/1900
DE062076011=	4/29/2011	1/3/1900
IE099584556=	11/25/2013	1/6/1900
XS083702001=	10/5/2012	1/8/1900
XS097264511=	9/26/2013	1/5/1900
KZS083157143=	9/20/2012	1/4/1900
RU091860449=	4/17/2013	1/4/1900
RU045489736=	9/29/2009	1/7/1900
RU098102817=	10/17/2013	1/10/1900
RU095402461=	7/17/2013	1/6/1900
RU086358328=	12/12/2012	1/5/1900
RU023498715=	11/10/2005	1/8/1900
RU065291355=	4/24/2012	1/7/1900
RU035938133=	4/24/2008	1/9/1900
RU061890521=	4/27/2011	1/6/1900
RU080863861=	4/22/2013	1/6/1900
RU092033490=	5/2/2013	1/8/1900
RU092033503=	5/2/2013	1/8/1900
RU086343916=	12/13/2012	1/8/1900
RU103864607=	2/26/2014	1/3/1900
RU095491251=	7/25/2013	1/3/1900
RU097412618=	9/25/2013	1/5/1900
RU044234840=	7/31/2009	1/8/1900
RU030358341=	6/4/2007	1/5/1900
RU044233029=	7/31/2009	1/8/1900
RU022079093=	6/1/2005	1/5/1900
RU056235418=	11/29/2010	1/5/1900
RU070881365=	11/23/2011	1/4/1900
RU027645631=	11/22/2006	1/6/1900
RU080558201=	7/19/2012	1/3/1900
RU027645593=	11/22/2006	1/5/1900
RU029058156=	3/7/2007	1/5/1900
RU032723713=	10/25/2007	1/6/1900
RU035728155=	4/11/2008	1/8/1900
RU042486094=	4/23/2009	1/9/1900
RU088573315=	2/6/2013	1/3/1900
RU090694600=	3/21/2013	1/3/1900
