RU070881381=	11/23/2011	1/5/1900
RU029058059=	3/7/2007	1/6/1900
RU080557035=	7/19/2012	1/4/1900
RU090694952=	3/21/2013	1/4/1900
RU088573692=	2/6/2013	1/4/1900
RU019175472=	4/28/2004	1/8/1900
RU031652413=	8/16/2007	1/7/1900
RU099754486=	11/27/2013	1/6/1900
RU053127096=	8/5/2010	1/6/1900
RU080365250=	7/30/2012	3.375
RU023057794=	9/23/2005	1/6/1900
RU083326433=	9/25/2012	1/8/1900
RU088810031=	2/19/2013	1/4/1900
RU042651770=	5/8/2009	1/7/1900
RU087798364=	1/24/2013	1/7/1900
RU078329122=	5/17/2012	1/5/1900
RU077921346=	5/4/2012	1/7/1900
RU080058225=	6/29/2012	1/8/1900
RU084813770=	10/25/2012	1/7/1900
RU102602510=	1/30/2014	1/4/1900
IE104072658=	3/5/2014	1/4/1900
RU098710965=	10/30/2013	3.984
RU097532087=	9/30/2013	1/7/1900
RU092229688=	4/26/2013	1/2/1900
RU083019271=	9/19/2012	1/4/1900
RU084665266=	10/24/2012	1/9/1900
RU030911431=	7/5/2007	1/9/1900
RU027105050=	10/30/2006	9.25
RU027105050=	10/30/2009	1/10/1900
RU033731671=	12/20/2007	1/11/1900
RU064033476=	6/23/2011	1/7/1900
RU046366344=	11/5/2009	1/6/1900
RU030427394=	6/7/2007	1/6/1900
RU091950243=	4/24/2013	1/3/1900
RU046192656=	11/5/2009	1/7/1900
RU055465967=	11/9/2010	1/6/1900
RU030427459=	6/7/2007	1/6/1900
RU091950456=	4/24/2013	1/4/1900
RU024693716=	3/10/2006	1/8/1900
RU024693716=	3/10/2011	7.93
RU024693716=	9/10/2012	1/7/1900
RU024693716=	3/10/2013	1/7/1900
RU024693716=	9/10/2013	1/7/1900
RU065096218=	7/21/2011	6.5
RU091829738=	4/17/2013	1/5/1900
RU098286128=	10/28/2013	1/5/1900
RU092133150=	5/30/2013	1/5/1900
RU027177255=	10/20/2006	1/5/1900
RU065508508=	8/5/2011	1/8/1900
RU051372387=	6/22/2010	1/8/1900
RU055783799=	11/15/2010	1/9/1900
RU023846845=	12/22/2005	1/8/1900
RU080863284=	2/19/2013	1/4/1900
RU078393432=	9/26/2012	4.95
RU050383962=	4/21/2010	1/8/1900
RU077612106=	4/26/2012	1/10/1900
RU094073022=	12/17/2012	1/10/1900
RU092311023=	4/25/2013	1/7/1900
RU092347281=	5/7/2013	1/6/1900
RU092213471=	4/30/2013	1/4/1900
RU058843679=	2/3/2011	1/5/1900
RU088587332=	2/21/2013	1/7/1900
RU058843326=	2/3/2011	1/6/1900
RU086438372=	12/13/2012	1/4/1900
RU030510585=	6/11/2007	1/8/1900
RU035912789=	4/17/2008	1/9/1900
RU088824512=	2/13/2013	1/4/1900
RU092230171=	4/29/2013	1/5/1900
RU055712859=	11/10/2010	1/11/1900
CW104221548=	3/17/2014	1/10/1900
RU046985605=	11/27/2009	1/12/1900
RU052465885=	7/8/2010	1/11/1900
RU077598421=	4/25/2012	1/8/1900
RU085167243=	11/6/2012	1/10/1900
RU077283528=	4/27/2012	1/7/1900
RU049408552=	5/6/2010	1/7/1900
RU049408609=	5/6/2010	1/6/1900
RU061678450=	4/21/2011	1/11/1900
RU093834178=	5/31/2013	1/7/1900
RU086979292=	12/21/2012	1/13/1900
IE099629754=	11/22/2013	1/13/1900
RU099629754=	11/22/2013	1/13/1900
VG094474248=	6/1/2013	1/10/1900
VG094474248=	6/30/2014	1/11/1900
VG094474248=	6/30/2015	1/12/1900
RU043356810=	6/11/2009	1/9/1900
RU088111923=	2/4/2013	1/3/1900
RU060563705=	3/17/2011	1/8/1900
RU074811400=	2/17/2012	1/8/1900
RU030099877=	5/14/2007	1/6/1900
RU079642622=	6/27/2012	1/5/1900
RU088473434=	2/7/2013	1/7/1900
RU036663090=	5/29/2008	1/7/1900
LU095523285=	7/25/2013	1/5/1900
RU095523285=	7/25/2013	1/5/1900
RU063288799=	6/3/2011	1/6/1900
RU063288799=	6/3/2016	1/6/1900
RU097989192=	10/16/2013	1/8/1900
RU086198037=	12/6/2012	1/3/1900
RU086198118=	12/6/2012	1/4/1900
RU055307261=	10/28/2010	1/7/1900
RU088663128=	2/14/2013	1/8/1900
RU095332331=	7/17/2013	1/11/1900
RU023809150=	12/16/2005	1/8/1900
RU023809150=	12/16/2010	1/7/1900
RU023809150=	6/16/2013	1/7/1900
RU027572855=	11/29/2006	1/9/1900
RU027572855=	12/1/2011	1/7/1900
RU080264895=	7/11/2012	1/9/1900
RU084167738=	10/10/2012	1/10/1900
RU049924518=	4/1/2010	1/5/1900
RU088572718=	2/26/2013	1/2/1900
RU076425345=	4/2/2012	1/8/1900
RU088572700=	2/26/2013	1/2/1900
RU091958198=	4/18/2013	1/3/1900
RU076422001=	4/5/2012	1/5/1900
RU060901791=	3/25/2011	1/7/1900
RU104181511=	3/6/2014	1/4/1900
RU025440528=	5/12/2006	1/10/1900
RU033738412=	12/20/2007	1/12/1900
RU103275016=	2/26/2014	1/5/1900
RU093531124=	5/23/2013	1/5/1900
RU052443571=	7/7/2010	1/5/1900
RU074932541=	3/14/2012	1/3/1900
RU088256182=	1/31/2013	1/7/1900
RU074238041=	2/7/2012	1/4/1900
RU054395671=	9/24/2010	5.4
RU089742757=	3/4/2013	1/7/1900
RU079935735=	6/28/2012	1/5/1900
RU063857297=	6/16/2011	1/5/1900
RU074359604=	2/7/2012	1/6/1900
RU084853097=	10/29/2012	1/5/1900
RU097321949=	11/29/2013	1/12/1900
RU064840258=	7/26/2011	1/6/1900
RU055131538=	10/25/2010	1/6/1900
RU084167100=	10/17/2012	1/5/1900
RU087885577=	1/31/2013	1/3/1900
RU022578596=	8/3/2005	1/7/1900
RU078324287=	5/18/2012	1/6/1900
RU078397292=	5/25/2012	1/15/1900
RU055267987=	10/27/2010	1/5/1900
RU089996970=	3/19/2013	1/4/1900
RU105969732=	4/28/2014	1/11/1900
RU083019123=	9/18/2012	1/10/1900
RU080863691=	12/6/2012	1/14/1900
RU058521159=	1/27/2011	1/7/1900
RU091159970=	4/3/2013	1/6/1900
RU048420877=	2/2/2010	1/6/1900
RU026190673=	7/18/2006	1/7/1900
RU029253030=	3/19/2007	1/6/1900
RU032496393=	10/10/2007	1/7/1900
RU048420915=	2/2/2010	1/7/1900
RU031136997=	7/18/2007	1/10/1900
RU031136997=	9/18/2012	1/7/1900
RU031136997=	3/18/2013	1/7/1900
RU031136997=	9/18/2013	1/7/1900
RU038143930=	8/7/2008	1/8/1900
RU094866677=	6/27/2013	1/12/1900
RU092288331=	4/29/2013	1/3/1900
RU100327376=	12/13/2013	1/6/1900
RU071900975=	2/13/2012	1/5/1900
RU055980012=	11/22/2010	1/5/1900
RU089320518=	2/21/2013	1/3/1900
RU052461081=	7/9/2010	1/6/1900
RU080081707=	7/5/2012	1/6/1900
RU089321239=	2/21/2013	1/4/1900
RU055991596=	11/22/2010	1/6/1900
RU099316217=	11/21/2013	1/4/1900
RU099316268=	11/21/2013	1/5/1900
RU063095087=	5/27/2011	1/5/1900
RU058703095=	2/2/2011	1/6/1900
RU025386183=	5/22/2006	1/8/1900
RU064317644=	6/29/2011	1/6/1900
RU088940202=	2/13/2013	1/9/1900
RU036104180=	4/30/2008	1/9/1900
RU088940105=	2/13/2013	1/5/1900
RU058703109=	2/2/2011	1/7/1900
RU064318322=	6/29/2011	1/7/1900
RU088940172=	2/13/2013	1/5/1900
RU030828780=	6/27/2007	1/11/1900
RU030828780=	6/27/2012	1/8/1900
RU030828780=	6/27/2013	1/8/1900
RU030828780=	12/27/2013	1/8/1900
RU099327995=	11/14/2013	1/9/1900
LU093758439=	6/3/2013	1/1/1900
RU063355739=	6/6/2011	1/3/1900
RU061647864=	4/20/2011	1/9/1900
RU061421319=	4/13/2011	1/9/1900
RU081973938=	8/28/2012	1/2/1900
RU083785004=	10/1/2012	1/2/1900
RU020221810=	10/12/2004	1/5/1900
RU049199813=	3/4/2010	1/6/1900
RU080734069=	7/20/2012	1/4/1900
RU023068311=	9/29/2005	1/6/1900
RU023068311=	10/1/2010	1/5/1900
RU023068311=	3/29/2012	1/5/1900
RU084744131=	10/30/2012	1/4/1900
RU069962971=	11/17/2011	1/5/1900
RU024410528=	2/15/2006	1/4/1900
RU062030844=	5/5/2011	1/9/1900
RU082538330=	9/26/2012	1/3/1900
RU077250948=	4/12/2012	1/6/1900
RU086356929=	12/11/2012	1/7/1900
RU059279459=	2/22/2011	1/6/1900
RU036592397=	5/28/2008	1/6/1900
RU054863365=	10/13/2010	1/6/1900
RU084207853=	10/17/2012	1/6/1900
RU022371592=	6/30/2005	1/6/1900
RU081059683=	8/6/2012	1/9/1900
IT047367115=	12/15/2009	1/12/1900
LU043836226=	7/13/2009	1/11/1900
IT056306587=	11/26/2010	1/7/1900
BM092346536=	4/29/2013	1/6/1900
/RU25068RMFS=MM	8/26/2009	1/12/1900
/RU25071RMFS=MM	12/2/2009	1/8/1900
/RU25075RMFS=MM	7/28/2010	1/6/1900
/RU25077RMFS=MM	1/26/2011	1/7/1900
/RU25079RMFS=MM	6/1/2011	1/7/1900
/RU25080RMFS=MM	4/25/2012	1/7/1900
/RU25081RMFS=MM	2/6/2013	1/6/1900
/RU25082RMFS=MM	5/15/2013	1/6/1900
/RU26202RMFS=MM	9/23/2009	1/11/1900
/RU26203RMFS=MM	8/4/2010	1/6/1900
/RU26204RMFS=MM	3/23/2011	1/7/1900
/RU26205RMFS=MM	4/13/2011	1/7/1900
/RU26206RMFS=MM	6/8/2011	1/7/1900
/RU26207RMFS=MM	2/22/2012	1/8/1900
/RU26208RMFS=MM	3/7/2012	1/7/1900
/RU26209RMFS=MM	8/1/2012	1/7/1900
/RU26210RMFS=MM	12/19/2012	1/6/1900
/RU26211RMFS=MM	1/16/2013	1/7/1900
/RU26212RMFS=MM	1/23/2013	1/7/1900
/RU26214RMFS=MM	6/5/2013	1/6/1900
/RU26215RMFS=MM	9/4/2013	1/7/1900
/RU26216RMFS=MM	11/13/2013	1/6/1900
/RU46005RMFS=MM	3/6/2003	1/0/1900
/RU46007RMFS=MM	2/14/2003	1/0/1900
/RU46008RMFS=MM	2/27/2003	1/0/1900
/RU46009RMFS=MM	2/14/2003	1/0/1900
/RU46010RMFS=MM	2/14/2003	1/0/1900
/RU46010RMFS=MM	6/6/2012	1/10/1900
/RU46011RMFS=MM	2/14/2003	1/0/1900
/RU46011RMFS=MM	9/5/2012	1/10/1900
/RU46012RMFS=MM	2/14/2003	1/3/1900
/RU46012RMFS=MM	10/8/2003	1/1/1900
/RU46012RMFS=MM	10/6/2004	1/0/1900
/RU46012RMFS=MM	10/5/2005	1/1/1900
/RU46012RMFS=MM	10/4/2006	1/0/1900
/RU46012RMFS=MM	10/3/2007	1/1/1900
/RU46012RMFS=MM	10/1/2008	1/0/1900
/RU46012RMFS=MM	9/30/2009	1/1/1900
/RU46012RMFS=MM	9/29/2010	1/2/1900
/RU46012RMFS=MM	9/28/2011	1/3/1900
/RU46012RMFS=MM	9/26/2012	1/1/1900
/RU46012RMFS=MM	9/25/2013	1/1/1900
/RU46012RMFS=MM	9/24/2014	1/4/1900
/RU46012RMFS=MM	9/23/2015	1/3/1900
/RU46012RMFS=MM	9/21/2016	1/3/1900
/RU46012RMFS=MM	9/20/2017	1/8/1900
/RU46012RMFS=MM	9/19/2018	1/8/1900
/RU46012RMFS=MM	9/18/2019	1/6/1900
/RU46012RMFS=MM	9/16/2020	1/9/1900
/RU46014RMFS=MM	3/5/2003	1/10/1900
/RU46014RMFS=MM	9/15/2004	1/10/1900
/RU46014RMFS=MM	9/13/2006	1/9/1900
/RU46014RMFS=MM	9/9/2009	1/8/1900
/RU46014RMFS=MM	9/8/2010	1/7/1900
/RU46017RMFS=MM	2/16/2005	1/9/1900
/RU46017RMFS=MM	11/16/2005	1/9/1900
/RU46017RMFS=MM	11/15/2006	1/8/1900
/RU46017RMFS=MM	11/14/2007	1/8/1900
/RU46017RMFS=MM	11/11/2009	1/7/1900
/RU46017RMFS=MM	11/10/2010	1/7/1900
/RU46017RMFS=MM	8/8/2012	1/6/1900
/RU46017RMFS=MM	11/5/2014	1/6/1900
/RU46018RMFS=MM	3/16/2005	1/9/1900
/RU46018RMFS=MM	12/13/2006	1/9/1900
/RU46018RMFS=MM	12/10/2008	1/8/1900
/RU46018RMFS=MM	12/8/2010	1/8/1900
/RU46018RMFS=MM	12/5/2012	1/7/1900
/RU46018RMFS=MM	12/3/2014	1/6/1900
/RU46019RMFS=MM	12/28/2005	1/0/1900
/RU46019RMFS=MM	3/28/2012	1/3/1900
/RU46019RMFS=MM	3/27/2013	1/2/1900
/RU46020RMFS=MM	2/15/2006	1/6/1900
/RU46020RMFS=MM	8/16/2006	1/6/1900
/RU46021RMFS=MM	2/21/2007	1/8/1900
/RU46021RMFS=MM	8/22/2007	1/7/1900
/RU46021RMFS=MM	8/19/2009	1/7/1900
/RU46021RMFS=MM	8/17/2011	1/6/1900
/RU46021RMFS=MM	8/14/2013	1/5/1900
/RU46021RMFS=MM	8/12/2015	1/5/1900
/RU46022RMFS=MM	1/23/2008	1/8/1900
/RU46022RMFS=MM	7/23/2008	1/7/1900
/RU46022RMFS=MM	7/21/2010	1/7/1900
/RU46022RMFS=MM	7/20/2011	1/6/1900
/RU46022RMFS=MM	7/24/2013	1/6/1900
/RU46022RMFS=MM	7/25/2018	1/5/1900
/RU46023RMFS=MM	9/30/2011	1/8/1900
/RU48001RMFS=MM	11/18/2004	1/10/1900
/RU48001RMFS=MM	10/24/2005	1/8/1900
/RU48001RMFS=MM	11/15/2006	1/7/1900
/RU48001RMFS=MM	11/12/2008	1/10/1900
/RU48001RMFS=MM	11/11/2009	1/13/1900
/RU48001RMFS=MM	11/10/2010	1/7/1900
/RU48001RMFS=MM	11/9/2011	1/6/1900
/RU48001RMFS=MM	11/7/2012	1/6/1900
/RU48001RMFS=MM	11/6/2013	1/5/1900
/RU000A0JQGW2=MM	11/5/2009	1/15/1900
/RU000A0JQGW2=MM	11/4/2010	1/8/1900
/RU000A0JQ9U9=MM	8/18/2009	1/14/1900
/RU000A0JQ9U9=MM	8/14/2012	1/8/1900
/RU000A0JQL30=MM	12/3/2009	1/12/1900
/RU000A0JQL30=MM	11/29/2012	1/8/1900
/RU000A0JRBU5=MM	3/22/2011	1/7/1900
/RU000A0JR5F7=MM	2/9/2011	1/9/1900
/RU000A0JU3G5=MM	8/27/2013	1/8/1900
/RU000A0JS1A6=MM	12/21/2011	1/9/1900
/RU000A0JTCV7=MM	11/28/2012	1/9/1900
/RU000A0JUBT1=MM	12/12/2013	1/9/1900
/RU000A0JPJE6=MM	12/11/2007	1/8/1900
/RU000A0JPLU8=MM	1/31/2008	1/8/1900
/RU000A0JQAG8=MM	8/27/2009	1/13/1900
/RU000A0JQAG8=MM	4/15/2010	1/10/1900
/RU000A0JQAG8=MM	10/15/2010	1/10/1900
/RU000A0JQAG8=MM	4/15/2011	1/10/1900
/RU000A0JQAG8=MM	10/17/2011	1/10/1900
/RU000A0JQAG8=MM	4/16/2012	1/10/1900
/RU000A0JQAG8=MM	10/15/2012	1/10/1900
/RU000A0JQAG8=MM	4/15/2013	1/10/1900
/RU000A0JQAG8=MM	10/15/2013	1/10/1900
/RU000A0JQAG8=MM	4/15/2014	1/10/1900
/RU000A0JQAL8=MM	8/27/2009	1/13/1900
/RU000A0JQAL8=MM	5/15/2010	1/10/1900
/RU000A0JQAL8=MM	11/15/2010	1/10/1900
/RU000A0JQAL8=MM	5/15/2011	1/10/1900
/RU000A0JQAL8=MM	5/15/2012	1/10/1900
/RU000A0JQAL8=MM	11/15/2012	1/10/1900
/RU000A0JQAL8=MM	5/15/2013	1/10/1900
/RU000A0JQAL8=MM	11/15/2013	1/10/1900
/RU000A0JQAL8=MM	5/15/2014	1/10/1900
/RU000A0JQAM6=MM	8/27/2009	1/13/1900
/RU000A0JQAM6=MM	3/15/2010	1/11/1900
/RU000A0JQAM6=MM	9/15/2010	1/10/1900
/RU000A0JQAM6=MM	3/15/2011	1/10/1900
/RU000A0JQAM6=MM	9/15/2011	1/10/1900
/RU000A0JQAM6=MM	3/15/2012	1/10/1900
/RU000A0JQAM6=MM	9/17/2012	1/10/1900
/RU000A0JQAM6=MM	3/15/2013	1/10/1900
/RU000A0JQAM6=MM	9/16/2013	1/10/1900
/RU000A0JQAM6=MM	3/17/2014	1/10/1900
/RU000A0JQXG0=MM	6/30/2010	1/8/1900
/RU000A0JRDY3=MM	4/5/2011	1/8/1900
/RU000A0JRF37=MM	4/19/2011	1/7/1900
/RU000A0JU3J9=MM	8/27/2013	1/3/1900
/RU000A0JU3J9=MM	6/9/2015	1/9/1900
/RU000A0JS1B4=MM	12/21/2011	1/3/1900
/RU000A0JTD52=MM	11/28/2012	1/3/1900
/RU000A0JUC19=MM	12/12/2013	1/3/1900
/RU000A0JR6S8=MM	12/28/2010	1/8/1900
/RU000A0JS488=MM	4/9/2012	1/8/1900
/RU000A0JS5S9=MM	3/29/2012	1/7/1900
/RU000A0JRYW3=MM	12/7/2011	1/7/1900
/RU000A0JTDX1=MM	12/5/2012	1/8/1900
/RU000A0JTW83=MM	4/29/2013	1/7/1900
/RU000A0JTZF1=MM	6/25/2013	1/6/1900
/RU000A0JTYR9=MM	6/13/2013	1/6/1900
/RU000A0JUKX4=MM	4/28/2014	1/9/1900
/RU000A0GKNF2=MM	12/6/2005	1/7/1900
/RU000A0JNPJ7=MM	10/4/2006	7.68
/RU000A0JNPK5=MM	10/4/2006	1/7/1900
/RU000A0JP1V5=MM	2/8/2007	1/7/1900
/RU000A0JU5T3=MM	9/25/2013	1/7/1900
/RU000A0JP8D8=MM	5/23/2007	1/6/1900
/RU000A0JPN21=MM	2/27/2008	1/8/1900
/RU000A0JPN21=MM	3/15/2015	1/9/1900
/RU000A0JPN39=MM	2/27/2008	1/9/1900
/RU000A0JPN39=MM	3/15/2015	1/10/1900
/RU000A0JQ276=MM	12/25/2008	1/10/1900
/RU000A0JQ276=MM	11/20/2016	1/11/1900
/RU000A0JQY35=MM		
/RU000A0JRMW8=MM	7/19/2011	1/6/1900
/RU000A0JRMW8=MM	9/15/2013	1/9/1900
/RU000A0JSGW8=MM	7/27/2012	9
/RU000A0JSKJ7=MM	7/27/2012	1/5/1900
/RU000A0JSKJ7=MM	10/22/2014	1/9/1900
/RU000A0JT692=MM	10/18/2012	1/9/1900
/RU000A0JT692=MM	10/17/2013	1/8/1900
/RU000A0JTRL6=MM	3/20/2013	1/9/1900
/RU000A0JTRL6=MM	3/19/2014	9.75
/RU000A0JU310=MM	8/22/2013	1/8/1900
/RU000A0JU2T0=MM	8/20/2013	1/8/1900
/RU000A0JQVK6=MM	6/29/2010	1/8/1900
/RU000A0JQX02=MM	6/24/2010	1/8/1900
/RU000A0JQX02=MM	6/20/2013	1/0/1900
/RU000A0JQXE5=MM	6/29/2010	1/8/1900
/RU000A0JQXE5=MM	6/25/2013	1/0/1900
/RU000A0JQX10=MM	6/24/2010	1/8/1900
/RU000A0JTA48=MM	11/2/2012	1/8/1900
/RU000A0JTA55=MM	11/2/2012	1/8/1900
/RU000A0JTN43=MM	2/19/2013	1/10/1900
/RU000A0JRNJ3=MM	8/3/2011	1/8/1900
/RU000A0JTXR1=MM	5/28/2013	1/9/1900
/RU000A0JRXT1=MM	12/20/2012	1/10/1900
/RU000A0JS5N0=MM	3/26/2012	1/9/1900
/RU000A0JS5N0=MM	3/26/2013	1/9/1900
/RU000A0JS5N0=MM	3/26/2014	1/9/1900
/RU000A0JS2Q0=MM	1/20/2012	1/11/1900
/RU000A0JTTC1=MM	4/4/2013	1/8/1900
/RU000A0JTEM2=MM	12/10/2012	1/10/1900
/RU000A0JSL87=MM	7/30/2012	1/10/1900
/RU000A0JRHF3=MM	5/31/2011	1/7/1900
/RU000A0JRHF3=MM	5/27/2014	1/10/1900
/RU000A0JRHG1=MM	5/31/2011	1/7/1900
/RU000A0JRHG1=MM	5/27/2014	1/10/1900
/RU000A0JT5E8=MM	10/16/2012	1/9/1900
/RU000A0JTDU7=MM	6/7/2013	1/13/1900
/RU000A0JR7S6=MM	8/9/2011	1/8/1900
/RU000A0JR7S6=MM	2/4/2014	1/8/1900
/RU000A0JRZB4=MM	12/9/2011	1/9/1900
/RU000A0JRZB4=MM	6/7/2013	1/8/1900
/RU000A0JT213=MM	9/28/2012	1/8/1900
/RU000A0JT213=MM	9/28/2013	1/8/1900
/RU000A0JU849=MM	10/24/2013	1/8/1900
/RU000A0JSW35=MM	8/31/2012	1/8/1900
/RU000A0JSW35=MM	2/28/2014	1/8/1900
/RU000A0JTP41=MM	2/26/2013	1/8/1900
/RU000A0JQYU9=MM	8/3/2010	1/9/1900
/RU000A0JQYU9=MM	7/30/2013	1/0/1900
/RU000A0JRJV6=MM	6/14/2011	1/8/1900
/RU000A0JRK22=MM	6/17/2011	1/8/1900
/RU000A0JTZH7=MM	6/25/2013	1/14/1900
/RU000A0JUJW8=MM	4/8/2014	1/8/1900
/RU000A0JSEU7=MM	7/17/2012	1/14/1900
/RU000A0JQZ59=MM	8/5/2010	1/7/1900
/RU000A0JTKS6=MM	2/4/2013	1/9/1900
/RU000A0JRYJ0=MM	12/5/2011	1/9/1900
/RU000A0JP8V0=MM	5/29/2007	1/7/1900
/RU000A0JP8V0=MM	11/27/2007	1/7/1900
/RU000A0JP8V0=MM	5/26/2009	1/18/1900
/RU000A0JP8V0=MM	5/25/2010	1/0/1900
/RU000A0JS7F2=MM	4/27/2012	1/10/1900
/RU000A0JS7F2=MM	4/28/2013	1/10/1900
/RU000A0JU7X1=MM	10/22/2013	1/8/1900
/RU000A0JS116=MM	12/20/2011	1/9/1900
/RU000A0JS116=MM	12/20/2012	1/10/1900
/RU000A0JS116=MM	12/20/2013	1/10/1900
/RU000A0JU0N7=MM	9/24/2013	1/10/1900
/RU000A0JRZ74=MM	7/16/2013	1/11/1900
/RU000A0JUFP0=MM	2/14/2014	1/12/1900
/RU000A0JRKX0=MM	6/29/2011	1/8/1900
/RU000A0JR0W3=MM	9/16/2010	1/9/1900
/RU000A0JTJ07=MM	12/28/2012	1/15/1900
/RU000A0JTJ07=MM	12/27/2013	1/14/1900
/RU000A0JU6B9=MM	10/1/2013	1/11/1900
/RU000A0JU7W3=MM	10/22/2013	1/7/1900
/RU000A0JTXP5=MM	5/23/2013	1/9/1900
/RU000A0JTXQ3=MM	5/23/2013	1/3/1900
/RU000A0JTY40=MM	6/5/2013	1/8/1900
/RU000A0JQ789=MM	7/7/2009	1/15/1900
/RU000A0JQ789=MM	7/6/2010	1/8/1900
/RU000A0JQ789=MM	7/3/2012	1/9/1900
/RU000A0JQ789=MM	7/2/2013	1/7/1900
/RU000A0JSVF2=MM	8/29/2012	1/9/1900
/RU000A0JSVF2=MM	8/28/2013	1/8/1900
/RU000A0JRW36=MM	11/15/2011	1/8/1900
/RU000A0JRW36=MM	11/15/2012	1/9/1900
/RU000A0JRW36=MM	11/15/2013	1/8/1900
/RU000A0JS397=MM	2/7/2012	1/8/1900
/RU000A0JS397=MM	2/7/2013	1/8/1900
/RU000A0JS397=MM	2/7/2014	1/7/1900
/RU000A0JS3P0=MM	2/14/2012	1/8/1900
/RU000A0JS3P0=MM	2/14/2013	1/8/1900
/RU000A0JS3P0=MM	2/14/2014	1/7/1900
/RU000A0JRHD8=MM	5/26/2011	1/7/1900
/RU000A0JRHD8=MM	11/26/2012	1/8/1900
/RU000A0JRHD8=MM	5/26/2013	1/5/1900
/RU000A0JS6L2=MM	4/12/2012	1/9/1900
/RU000A0JS6L2=MM	4/12/2014	1/10/1900
/RU000A0JTKK3=MM	1/31/2013	1/8/1900
/RU000A0JQNR8=MM	12/22/2009	1/12/1900
/RU000A0JQNR8=MM	12/18/2012	1/8/1900
/RU000A0JQNS6=MM	12/22/2009	1/12/1900
/RU000A0JQNS6=MM	6/14/2012	1/8/1900
/RU000A0JQNH9=MM	12/22/2009	1/12/1900
/RU000A0JQNH9=MM	12/18/2012	1/8/1900
/RU000A0JS3U0=MM	2/17/2012	1/9/1900
/RU000A0JTM28=MM	2/12/2013	1/8/1900
/RU000A0JTM36=MM	2/12/2013	1/8/1900
/RU000A0JTM44=MM	2/12/2013	1/8/1900
/RU000A0JTM51=MM	2/12/2013	1/8/1900
/RU000A0JRYS1=MM	12/6/2011	1/9/1900
/RU000A0JRYS1=MM	12/3/2013	1/0/1900
/RU000A0JTFV0=MM	12/18/2012	1/12/1900
/RU000A0JT3P9=MM	10/8/2012	1/9/1900
/RU000A0JT3P9=MM	10/7/2013	1/8/1900
/RU000A0JPQY9=MM	4/29/2008	1/10/1900
/RU000A0JPQY9=MM	10/26/2010	1/8/1900
/RU000A0JTHK9=MM	2/26/2013	1/8/1900
/RU000A0JTHL7=MM	2/26/2013	1/10/1900
/RU000A0JTU93=MM	4/16/2013	1/9/1900
/RU000A0JSAK6=MM	7/5/2012	1/9/1900
/RU000A0JSAK6=MM	1/3/2013	1/12/1900
