RU049493380=	TESTING	XS0494933806=CBKT
RU049493380=	TESTING	XS0494933806=CSEQ
RU049493380=	TESTING	XS0494933806=MSCT
RU049493380=	FINRA	M078DXAC9=FINR
RU049493380=	THOMSON REUTERS EVALUATED	RU049493380=RRPS
RU092214257=	MARKETAXESS	XS092214257=1M
RU092214257=	BOA MERRILL LYNCH ETRADING	XS0922142574=BOAM
RU092214257=	GOLDMAN SACHS ETRADING	XS0922142574=GSCR
RU092214257=	TRFIT COMPOSITE	XS0922142574=R
RU092214257=	ZKB ETRADING	XS0922142574=ZKBE
RU092214257=	THOMSON REUTERS COMPOSITE EMEA	RU092214257=
RU092214257=	CONTINENTAL CAPITAL MARKETS	XS0922142574=CCMG
RU092214257=	VTB CAPITAL	XS0922142574=VTBC
RU092214257=	MARKETAXESS L2	XS092214257=2M
RU092214257=	IRISH STOCK EXCHANGE	IEB960DV8=I
RU092214257=	STUTTGART STOCK EXCHANGE	DEA1HJ3B=SG
RU092214257=	TESTING	XS0922142574=CSEQ
RU092214257=	THOMSON REUTERS EVALUATED	RU092214257=RRPS
RU028869053=	MARKETAXESS	XS028869053=1M
RU028869053=	MARKETAXESS	028869053=1M
RU028869053=	BOA MERRILL LYNCH ETRADING	XS0288690539=BOAM
RU028869053=	COMMERZBANK ETRADING	XS0288690539=CBKG
RU028869053=	COMMERZBANK TRADEWEB PRICE	XS0288690539=CBTW
RU028869053=	CREDIT SUISSE ETRADING	XS0288690539=CSEM
RU028869053=	DEUTSCHE BANK AUTOBAHN	XS0288690539=DBAB
RU028869053=	GOLDMAN SACHS ETRADING	XS0288690539=GSCR
RU028869053=	GOLDMAN SACHS TRADEWEB PRICE	XS0288690539=GSTW
RU028869053=	JEFFERIES INTL ETRADING	XS0288690539=JEFX
RU028869053=	JEFFERIES INTL TRADEWEB PRICE	XS0288690539=JFTW
RU028869053=	JP MORGAN TRADEWEB PRICE	XS0288690539=JPTW
RU028869053=	MORGAN STANLEY ETRADING	XS0288690539=MSFI
RU028869053=	MORGAN STANLEY TRADEWEB PRICE	XS0288690539=MSTW
RU028869053=	TRFIT COMPOSITE	XS0288690539=R
RU028869053=	TRADEWEB	XS028869053=TE
RU028869053=	UBS ETRADING	XS0288690539=UBS
RU028869053=	UNICREDIT TRADEWEB PRICE	XS0288690539=UCTW
RU028869053=	UBS AG ETRADING	XS0288690539=UPIN
RU028869053=	UBS TRADEWEB PRICE	XS0288690539=USTW
RU028869053=	PREMEX	XS0288690539=PRMX
RU028869053=	TRADITION	XS0288690539=TRDL
RU028869053=	THOMSON REUTERS COMPOSITE EMEA	RU028869053=
RU028869053=	CCM	XS0288690539=CCAP
RU028869053=	CONTINENTAL CAPITAL MARKETS	XS0288690539=CCMG
RU028869053=	TRUST AND INVESTMENT BANK	RU028869053=DIBM
RU028869053=	RAIFFEISEN ZENTRALBANK	XS0288690539=RZBV
RU028869053=	SBERBANK CIB	XS0288690539=SBER
RU028869053=	MARKETAXESS L2	XS028869053=2M
RU028869053=	MARKETAXESS L2	028869053=2M
RU028869053=	BERLIN STOCK EXCHANGE	DEA0LNPV=BE
RU028869053=	FRANKFURT STOCK EXCHANGE	DEA0LNPV=F
RU028869053=	LONDON STOCK EXCHANGE	GBB1RYGZ8=L
RU028869053=	TESTING	XS0288690539=CBKT
RU028869053=	TESTING	XS0288690539=CSEQ
RU028869053=	TESTING	XS0288690539=MSCT
RU028869053=	FINRA	G0226QAA1=FINR
RU028869053=	THOMSON REUTERS EVALUATED	RU028869053=RRPS
RU054436297=	MARKETAXESS	XS054436297=1M
RU054436297=	BNP PARIBAS TRADEWEB PRICE	XS0544362972=BNTW
RU054436297=	BOA MERRILL LYNCH ETRADING	XS0544362972=BOAM
RU054436297=	COMMERZBANK ETRADING	XS0544362972=CBKG
RU054436297=	COMMERZBANK TRADEWEB PRICE	XS0544362972=CBTW
RU054436297=	CREDIT SUISSE ETRADING	XS0544362972=CSEM
RU054436297=	DEUTSCHE BANK AUTOBAHN	XS0544362972=DBAB
RU054436297=	GOLDMAN SACHS ETRADING	XS0544362972=GSCR
RU054436297=	GOLDMAN SACHS TRADEWEB PRICE	XS0544362972=GSTW
RU054436297=	JEFFERIES INTL ETRADING	XS0544362972=JEFX
RU054436297=	JEFFERIES INTL TRADEWEB PRICE	XS0544362972=JFTW
RU054436297=	JP MORGAN TRADEWEB PRICE	XS0544362972=JPTW
