RU088663268=		
RU091829738=	4/17/2013	5.625
RU098286128=		
RU098286128=	10/28/2013	5.55
RU092133150=		
RU092133150=	5/30/2013	5
RU027177255=		
RU027177255=	10/20/2006	5.064
RU065508508=		
RU065508508=	8/5/2011	8.25
RU051372387=		
RU051372387=	6/22/2010	8.625
RU055783799=		
RU055783799=	11/15/2010	9.75
RU023846845=		
RU023846845=	12/22/2005	8.5
RU080863284=		
RU080863284=	2/19/2013	4.45
RU078393432=		
RU078393432=	9/26/2012	4.95
RU050383962=		
RU050383962=	4/21/2010	8.75
RU077612106=		
RU077612106=	4/26/2012	10
RU094073022=		
RU094073022=	12/17/2012	10
RU092311023=		
RU092311023=	4/25/2013	7.25
RU092347281=		
RU092347281=	5/7/2013	6.375
RU092213471=		
RU092213471=	4/30/2013	4.375
RU058843679=		
RU058843679=	2/3/2011	5.326
RU088587332=		
RU088587332=	2/21/2013	7.75
RU058843326=		
RU058843326=	2/3/2011	6.604
RU086438372=		
RU086438372=	12/13/2012	4.422
RU030510585=		
RU030510585=	6/11/2007	8.75
RU035912789=		
RU035912789=	4/17/2008	9
RU088824512=		
RU088824512=	2/13/2013	4.204
RU092230171=		
RU092230171=	4/29/2013	5.625
RU055712859=		
RU055712859=	11/10/2010	11.75
CW104221548=		
CW104221548=	3/17/2014	10.5
RU046985605=		
RU046985605=	11/27/2009	12.75
RU052465885=		
RU052465885=	7/8/2010	11.25
RU077598421=		
RU077598421=	4/25/2012	8.5
RU085167243=		
RU085167243=	11/6/2012	10.2
RU077283528=		
RU077283528=	4/27/2012	7.75
RU049408552=		
RU049408552=	5/6/2010	7
RU049408609=		
RU049408609=	5/6/2010	6
RU061678450=		
RU061678450=	4/21/2011	11
RU093834178=		
RU093834178=	5/31/2013	7.75
RU086979292=		
RU086979292=	12/21/2012	13.5
IE099629754=		
IE099629754=	11/22/2013	13.5
RU099629754=		
RU099629754=	11/22/2013	13.5
VG094474248=		
VG094474248=	6/1/2013	10
VG094474248=	6/30/2014	11
VG094474248=	6/30/2015	12
RU043356810=		
RU043356810=	6/11/2009	9
RU088111923=		
RU088111923=	2/4/2013	3.6
RU060563705=		
RU060563705=	3/17/2011	8.7
RU074811400=		
RU074811400=	2/17/2012	8.625
RU030099877=		
RU030099877=	5/14/2007	6.299
RU079642622=		
RU079642622=	6/27/2012	5.298
RU088473434=		
RU088473434=	2/7/2013	7.875
RU036663090=		
RU036663090=	5/29/2008	7.75
LU095523285=		
LU095523285=	7/25/2013	5.1
RU095523285=		
RU095523285=	7/25/2013	5.1
RU063288799=		
RU063288799=	6/3/2011	6
RU063288799=	6/3/2016	6.817
RU097989192=		
RU097989192=	10/16/2013	8.5
RU086198037=		
RU086198037=	12/6/2012	3.149
RU086198118=		
RU086198118=	12/6/2012	4.199
RU055307261=		
RU055307261=	10/28/2010	7.875
RU088663128=		
RU088663128=	2/14/2013	8
RU095332331=		
RU095332331=	7/17/2013	11.5
RU023809150=		
RU023809150=	12/16/2005	8.875
RU023809150=	12/16/2010	7.73
RU023809150=	6/16/2013	7.73
RU027572855=		
RU027572855=	11/29/2006	9.75
RU027572855=	12/1/2011	7.561
RU080264895=		
RU080264895=	7/11/2012	9.25
RU084167738=		
RU084167738=	10/10/2012	10.75
RU049924518=		
RU049924518=	4/1/2010	5.739
RU088572718=		
RU088572718=	2/26/2013	2.177
RU076425345=		
RU076425345=	4/2/2012	8.3
RU088572700=		
RU088572700=	2/26/2013	2.73
RU091958198=		
RU091958198=	4/18/2013	3.3744
RU076422001=		
RU076422001=	4/5/2012	5.7
RU060901791=		
RU060901791=	3/25/2011	7.487
RU104181511=		
RU104181511=	3/6/2014	4.6
RU025440528=		
RU025440528=	5/12/2006	10.125
RU033738412=		
RU033738412=	12/20/2007	12
RU103275016=		
RU103275016=	2/26/2014	5.5
RU093531124=		
RU093531124=	5/23/2013	5.25
RU052443571=		
RU052443571=	7/7/2010	5.499
RU074932541=		
RU074932541=	3/14/2012	3.1
RU088256182=		
RU088256182=	1/31/2013	7
RU074238041=		
RU074238041=	2/7/2012	4.95
RU054395671=		
RU054395671=	9/24/2010	5.4
RU089742757=		
RU089742757=	3/4/2013	7.4
RU079935735=		
RU079935735=	6/28/2012	5.18
RU063857297=		
RU063857297=	6/16/2011	5.717
RU074359604=		
RU074359604=	2/7/2012	6.125
RU084853097=		
RU084853097=	10/29/2012	5.125
RU097321949=		
RU097321949=	11/29/2013	12
RU064840258=		
RU064840258=	7/26/2011	6.25
RU055131538=		
RU055131538=	10/25/2010	6.7
RU084167100=		
RU084167100=	10/17/2012	5.9
RU087885577=		
RU087885577=	1/31/2013	3.914
RU022578596=		
RU022578596=	8/3/2005	7.7
RU078324287=		
RU078324287=	5/18/2012	6.95
RU078397292=		
RU078397292=	5/25/2012	15
RU055267987=		
RU055267987=	10/27/2010	5.375
RU089996970=		
RU089996970=	3/19/2013	4.45
RU105969732=		
RU105969732=	4/28/2014	11
RU083019123=		
RU083019123=	9/18/2012	10.75
RU080863691=		
RU080863691=	12/6/2012	14
RU058521159=		
RU058521159=	1/27/2011	7.75
RU091159970=		
RU091159970=	4/3/2013	6.75
RU048420877=		
RU048420877=	2/2/2010	6.25
RU026190673=		
RU026190673=	7/18/2006	7.5
RU029253030=		
RU029253030=	3/19/2007	6.625
RU032496393=		
RU032496393=	10/10/2007	7.875
RU048420915=		
RU048420915=	2/2/2010	7.25
RU031136997=		
RU031136997=	7/18/2007	10.514
RU031136997=	9/18/2012	7.7
RU031136997=	3/18/2013	7.74
RU031136997=	9/18/2013	7.74
RU038143930=		
RU038143930=	8/7/2008	8.7
RU094866677=		
RU094866677=	6/27/2013	12
RU092288331=		
RU092288331=	4/29/2013	3.723
RU100327376=		
RU100327376=	12/13/2013	6.25
RU071900975=		
RU071900975=	2/13/2012	5.375
RU055980012=		
RU055980012=	11/22/2010	5.45
RU089320518=		
RU089320518=	2/21/2013	3.035
RU052461081=		
RU052461081=	7/9/2010	6.902
RU080081707=		
RU080081707=	7/5/2012	6.025
RU089321239=		
RU089321239=	2/21/2013	4.032
RU055991596=		
RU055991596=	11/22/2010	6.8
RU099316217=		
RU099316217=	11/21/2013	4.224
